Accession	A_Ctrl	B_Ctrl	C_Ctrl	A_372	B_372	C_372	B_191	A_191	A_519c	B_519c
sp|P08670|VIME_HUMAN_family	395,253,282	395,570,068	386,313,976	444,099,126	532,663,956	678,342,203	327,505,777	568,240,489	460,036,847	474,546,294
sp|P06733|ENOA_HUMAN	262,855,622	239,680,521	244,411,813	277,237,102	327,112,917	418,570,043	192,556,351	382,082,560	279,434,110	269,095,305
sp|P14618|KPYM_HUMAN_family	145,804,487	168,998,934	175,324,227	194,247,082	192,404,482	276,003,001	128,707,616	234,060,580	177,834,281	203,781,407
sp|P62937|PPIA_HUMAN	156,545,036	165,416,652	153,866,637	178,922,021	220,823,623	277,465,913	123,459,976	238,075,830	189,919,512	183,459,953
sp|P06748|NPM_HUMAN	128,465,377	145,185,097	134,505,562	151,745,953	210,644,078	249,902,493	110,124,607	189,962,243	163,743,146	173,590,504
sp|P02545|LMNA_HUMAN	137,833,386	145,216,838	128,040,094	140,393,592	182,989,867	212,560,096	109,013,624	196,486,785	155,907,968	159,547,186
sp|P11142|HSP7C_HUMAN	131,584,995	131,804,901	110,524,399	143,610,176	185,722,010	224,763,854	103,637,968	166,958,911	142,669,718	146,317,642
sp|P62258|1433E_HUMAN	99,702,226	109,921,231	94,684,170	133,074,447	151,120,174	182,647,030	96,150,215	144,490,859	134,823,462	148,406,318
sp|P35579|MYH9_HUMAN	101,602,545	103,768,691	111,555,999	122,398,871	132,521,310	176,331,257	80,010,290	152,619,553	119,619,096	127,918,072
sp|P38646|GRP75_HUMAN	89,978,517	90,900,986	83,617,358	94,515,978	125,298,559	155,363,829	77,665,045	124,505,657	103,478,603	99,919,918
sp|Q15149|PLEC_HUMAN_family	80,995,733	79,823,110	84,527,000	93,126,867	105,891,044	143,223,808	63,133,128	113,265,570	98,182,502	100,326,460
sp|P07355|ANXA2_HUMAN	77,588,319	80,001,965	82,755,298	92,669,503	94,123,887	127,130,571	69,856,236	122,884,351	91,311,269	95,556,096
sp|P19338|NUCL_HUMAN	68,652,979	78,842,375	77,328,228	111,747,920	101,609,420	132,982,219	55,190,873	103,827,820	83,252,592	90,680,197
sp|P23528|COF1_HUMAN	78,055,526	78,937,046	57,984,563	83,983,868	110,232,464	121,238,542	68,846,771	85,626,515	99,275,537	82,770,767
sp|Q09666|AHNK_HUMAN	74,245,189	69,248,036	74,460,802	72,679,975	98,163,770	117,727,081	54,268,418	99,394,240	81,237,366	77,149,386
sp|P07195|LDHB_HUMAN	66,074,929	67,659,557	63,208,067	87,485,976	89,218,780	109,913,243	52,998,081	88,390,083	77,384,681	82,851,480
sp|P04075|ALDOA_HUMAN	66,602,648	68,199,171	60,509,446	71,537,765	86,626,586	106,040,653	51,581,877	95,637,820	75,830,459	76,088,788
sp|P26038|MOES_HUMAN	51,474,444	55,982,289	67,798,733	63,180,923	56,267,049	82,511,641	41,482,920	90,409,632	56,180,605	67,689,786
sp|P11021|BIP_HUMAN	53,531,455	51,482,032	48,452,875	50,905,578	64,504,827	79,466,521	44,032,176	77,845,367	64,791,449	62,683,127
sp|P10809|CH60_HUMAN	49,914,348	51,558,320	47,649,819	50,119,696	66,285,727	91,322,388	42,265,232	73,475,837	60,869,233	58,533,669
sp|P52272|HNRPM_HUMAN	49,655,796	49,328,329	51,639,433	57,411,448	62,272,574	86,313,116	38,316,764	73,973,222	52,996,880	56,345,769
sp|P18206|VINC_HUMAN	51,070,530	51,487,203	50,268,808	53,435,659	64,605,041	83,001,830	39,422,560	75,813,717	48,726,258	50,086,344
sp|O14818|PSA7_HUMAN	44,703,300	52,368,191	36,870,657	60,576,782	62,637,662	75,626,934	45,240,842	60,580,797	59,259,656	62,005,712
sp|P62805|H4_HUMAN	40,245,380	49,266,114	61,292,587	68,392,959	58,207,897	75,903,676	29,583,292	66,362,275	48,051,678	61,767,155
sp|P63104|1433Z_HUMAN	47,305,817	47,382,723	47,752,934	47,994,859	60,304,361	77,710,279	34,700,853	64,367,947	58,002,939	55,748,553
sp|P08758|ANXA5_HUMAN	44,324,131	43,938,725	37,680,845	50,006,099	63,065,861	69,969,737	35,893,213	67,355,279	49,650,223	57,248,303
sp|P63241|IF5A1_HUMAN	40,748,401	42,928,456	31,911,107	49,408,915	59,569,865	64,870,189	38,836,786	55,606,706	52,398,185	50,102,763
sp|P62979|RS27A_HUMAN_family	38,170,597	36,682,248	46,357,242	45,478,640	48,371,186	64,651,382	29,332,691	65,709,925	47,528,828	45,930,804
sp|P60709|ACTB_HUMAN_family	36,595,816	36,751,208	40,000,473	42,593,395	46,282,938	68,944,048	33,316,918	51,713,398	49,942,565	47,520,094
sp|P48643|TCPE_HUMAN	37,600,167	38,056,836	39,210,904	46,872,065	51,695,732	68,834,491	29,318,876	53,586,032	43,107,991	43,714,574
sp|P21333|FLNA_HUMAN	37,109,822	35,794,952	36,886,862	39,435,609	48,165,052	61,792,601	29,086,239	52,935,063	41,816,770	43,089,263
sp|P60174|TPIS_HUMAN	37,115,382	30,876,708	36,343,130	35,187,883	45,450,301	57,926,303	30,964,308	55,610,766	40,397,134	39,602,639
sp|P43243|MATR3_HUMAN	33,737,477	33,741,474	29,018,039	41,637,295	47,309,177	56,246,149	28,098,405	39,501,605	41,076,256	42,665,057
sp|P00338|LDHA_HUMAN	29,917,095	33,869,279	37,139,943	40,976,176	40,794,981	52,481,771	25,776,508	51,226,983	34,933,219	40,477,763
sp|P12270|TPR_HUMAN	32,546,776	31,660,599	30,354,990	33,033,377	45,488,762	53,636,800	25,738,616	43,517,043	31,454,307	31,140,093
sp|P55209|NP1L1_HUMAN	30,762,933	29,559,222	22,346,840	34,175,263	47,910,471	47,189,149	25,681,134	33,288,292	35,834,630	34,672,162
sp|P12814|ACTN1_HUMAN_family	26,746,790	27,774,727	25,463,376	30,993,023	36,168,872	46,140,594	24,489,389	38,556,871	31,193,123	32,042,542
sp|P46940|IQGA1_HUMAN	24,553,945	28,040,359	28,341,051	34,475,398	32,540,787	44,498,550	21,290,908	38,702,163	30,561,059	34,866,559
sp|P13639|EF2_HUMAN	25,199,099	26,196,748	28,739,803	35,286,950	33,037,468	45,337,523	20,421,303	37,444,250	30,445,339	32,379,942
sp|P07237|PDIA1_HUMAN	28,464,468	26,306,580	25,871,595	26,060,125	34,542,503	43,100,548	21,654,738	40,219,201	31,195,142	31,709,209
sp|P84243|H33_HUMAN_family	22,805,061	27,672,723	33,464,540	39,741,871	29,637,822	44,394,691	17,741,030	38,692,046	25,299,086	27,949,906
sp|Q86UP2|KTN1_HUMAN	24,080,349	25,654,726	26,070,743	33,646,214	34,259,985	40,824,399	21,097,705	38,192,271	26,802,292	30,659,054
sp|P27797|CALR_HUMAN	28,247,275	27,667,862	25,979,103	25,585,325	34,027,752	41,100,029	23,617,740	41,010,884	27,878,896	25,032,790
sp|Q00610|CLH1_HUMAN_family	24,644,362	23,444,955	26,893,715	31,538,085	28,262,255	44,392,502	20,024,788	36,236,795	28,850,685	30,085,584
sp|Q13813|SPTN1_HUMAN	25,431,105	23,906,725	23,706,341	27,690,384	34,079,397	44,402,855	20,419,433	34,377,087	28,499,164	28,788,717
