PAW protein_summary_9 results file
written: Sat Jun 20 13:37:25 2020

 	=subtotal(109,B6:B8685)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_IPG3	Total_IPG37	Unique_IPG3	Unique_IPG37	Corrected_IPG3	Corrected_IPG37	OtherLoci
1.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	24.2	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	7	6	0.857	3	4	2	4	3.000	4.000	CONT_010|gi|136429|sp|P00761|TRYP_PIG, sp|P07477|TRY1_HUMAN
2.0	1	CONT_015|gi|229552|prf||754920A	contaminant	59.4	581	65797	albumin [Bos primigenius taurus].	180	23	0.128	97	83	12	11	48.162	33.150	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
3.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	63.4	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	191	34	0.178	99	92	14	20	56.188	60.273	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
4.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	74.2	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	745	715	0.960	33	712	14	701	20.650	711.577	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
4.0001	1	sp|P02768|ALBU_HUMAN	redundant	74.2	609	69366	Serum albumin OS=Homo sapiens (Human) OX=9606 GN=ALB PE=1 SV=2	745	715	0.960	33	712	14	701	20.650	711.577	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
5.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	4.9	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	13	0	0.000	9	4	0	0	0.000	0.000	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
6.0	1	CONT_019|CAS1_BOVIN	contaminant	28.5	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	16	16	1.000	11	5	11	5	11.000	5.000	 
7.0	1	CONT_020|CAS2_BOVIN	contaminant	11.7	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	3	3	1.000	2	1	2	1	2.000	1.000	 
8.0	1	CONT_021|CASB_BOVIN	contaminant	11.6	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	17	17	1.000	14	3	14	3	14.000	3.000	 
